GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,115,0,13,0,23,0,9,0,2,0
parking-system,com.parkit.parkingsystem.service,ParkingService,257,0,11,0,68,0,13,0,7,0
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,62,0,8,0,19,0,13,0,9,0
parking-system,com.parkit.parkingsystem.model,Ticket,45,0,0,0,19,0,13,0,13,0
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,24,0,0,0,3,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,54,0,4,0,17,0,6,0,4,0
parking-system,com.parkit.parkingsystem.dao,TicketDAO,286,0,8,0,65,0,10,0,6,0
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,147,0,8,0,45,0,9,0,5,0
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,60,0,6,0,26,0,9,0,6,0
